Title,Reviews,Sold,Original Price,Store Name,Store City,Description,Order Processing,Positive Feedback,Total Feedback,Product URL
Keyboard Gaming Mechanical Rexus MX9 TKL Legionare RGB ,,,Rp549.000,uneed shop,Jakarta Utara,"Rexus Keyboard Gaming Mechanical Legionare MX9 TKL RGBUpgrade Your TKL Keyboard!Rexus Gaming Keyboard Legionare MX9 adalah sebuah penyempurnaan dari jajaran keyboard Ten Key Less (TKL) Rexus.- LED RGB (16.8 juta spektrum warna) dengan 9 metode pencahayaan.- 11 tombol untuk fungsi multimedia.- Pengaturan tombol WASD dan tombol panah.- Daya tahan switch hingga lebih dari 50 juta kali klik.Supported by SoftwareKeyboard Rexus Legionare MX9 didukung perangkat lunak (software) untuk memudahkan Anda mengatur fungsi keyboard. Pengaturan fitur dengan perangkat lunak tersebut dapat tersimpan dalam keyboard yang dilengkapi dengan on board memory sebesar 64Kb ini.Two Switch TypesRexus Gaming Keyboard Legionare MX9 memberikan pengguna pilihan untuk menentukan switch yang sesuai dengan karakteristiknya. Terdapat dua pilihan switch, yaitu switch Biru dan Merah. Biru adalah switch yang paling clicky dengan actuation force sekitar 50-55gram dan switch merah mempunyai karakter yang lembut dengan actuation force sekitar 45-50gram.Attractive ColorKeyboard Rexus Legionare MX9 tampil kekinian dengan menawarkan 4 pilihan warna yang moderen, yaitu Hitam, Putih, Pink, dan Biru. Dua warna unik, pink dan biru, tentu saja akan memberi warna baru sekaligus menjadi signature pada karakter penggunanya.Spesifikasi:Tipe: Keyboard Mekanikal (Dengan switch Biru dan Merah)Jumlah tombol: 87 tombolDaya tahan tombol: 50 juta klikMaterial: Plastik ABSGaya tekanan tombol: 60  10GPolling rate: 1000 HzArus: 100  260 mAMemori: 64 kbTegangan: 5.0  0.25 VPanjang kabel: 1,8 MeterDimensi: 361 x 22.5 x 133.5 mmBerat: 950  30 GramKompatibilitas: Windows 7 / 8 / 8.1 / 10Isi Paket:- Rexus Gaming Keyboard Legionare MX9- Metal Switch puller & cadangan switch- Buku manual",± 21 jam,6.516 Feedback Positif,dari 6.541 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/41m3i94-jual-keyboard-gaming-mechanical-rexus-mx9-tkl-legionare-rgb
Rexus Daxa M84 Ultimate Hotswap Wireless Mechanical Keyboard - Rexus Daxa M84 Ultimate Hotswap ,,,Rp1.049.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer Rexus Produk ini 100% Ori + Garansi Resmi Rexus Harap untuk menanyakan stok sebelum order Pengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkout Harap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaVarian switch: Blue / Red / Brown / Yellow Tidak mencantumkan switch di catatan maka akan dikirim random. Jika sudah mencantumkan switch tetapi barang tidak ready karena sebelumnya tidak tanya stok, kami akan konfirmasi ulang sebelum dikirim :)ORDER = Dianggap Sudah Membaca Ketentuan Yang Berlaku ^^FITUR UNGGULAN:Most Complete ConnectionsKeyboard Daxa M84 Ultimate dilengkapi dengan tiga mode konektivitas [Wireless via Dongle / Bluetooth / Wired USB-C].50M Lifespan Gateron SwitchKeyboard Daxa M84 Ultimate menggunakan switch Gateron dengan durabilitas hingga 50 juta klik.Hot-swappable SwitchTeknologi hot swappable switch yang diaplikasikan pada keyboard Daxa M84 Ultimate memungkinkan pengguna untuk mengganti atau mengombinasikan switch-nya dengan switch tipe lain, bahkan dari merek switch lain.Bigger Battery CapacityKeyboard Daxa M84 Ultimate ditenagai oleh baterai berkapasitas 3750 mAh yang punya daya tahan pemakaian yang tahan lama.Adjustable RGB LEDKeyboard Gaming Mekanikal Daxa M84 Ultimate dilengkapi dengan LED RGB yang dapat diatur sesuai dengan keinginan pengguna menggunakan software.Additional USB HUBKeyboard Gaming Mekanikal M84 Ultimate mempunyai tambahan USB HUB 2.0 dan berfungsi sebagai slot konektor tambahan.TECH SPECS:Dimensi: 316 x 126 x 41,5  2mmBerat: 800gramJumlah Keys: 84 TombolRGB LightingKonektivitas: RF receiver (dongle) / Bluetooth 5.0 / USB 3.0Material: ABSUSB HUB: 2 x USB 2.0Panjang Kabel: 1,8m (ParacordCatu Daya: 5V, 200mASistem operasi: Windows XP/VISTA/7/8/10, IOS, MacOS, Linux, Android",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4dh6rty-jual-rexus-daxa-m84-ultimate-hotswap-wireless-mechanical-keyboard-rexus-daxa-m84-ultimate-hotswap
PXN K30 Gaming TKL Battledock Mechanical Keyboard Blue Switch - Black and White ,,,Rp538.700,Store Pinokio,Kab. Tangerang,"Fitur:61 KEYS MINI KEYBOARD: Meskipun memperkecil ukuran, fungsi utama tetap dipertahankan, banyak kombinasi tombol FN +, kompak tetapi serbaguna.BLUETOOTH WIRELESS / WIRED DUAL MODE: Dirancang dengan mode Bluetooth dan mode dual kabel tipe-c, mudah digunakan dan cocok untuk bekerja dan bermain game.ERGONOMI & EFEK CAHAYA: Tombol dirancang dengan ketinggian berbeda agar lebih nyaman untuk mengetik. Lampu latar kuning menambah suasana yang lebih tajam.SWITCH BIRU MEKANIK: Keyboard mini menggunakan sakelar biru mekanis nyata untuk pengalaman mengetuk yang luar biasa.Spesifikasi:Merek: PXNModel: K30Jenis: Keyboard MekanisWarna: Hitam, Putih (Opsional)Saklar: Saklar BiruKapasitas Baterai: baterai isi ulang 1850mAAntarmuka: Type-CKoneksi: Kabel USB dan Bluetooth 5.0Kabel: kabel 1,5mTata Letak Kunci: Tata letak tombol Compact 61Persyaratan Sistem: untuk Windows 2000 / XP / Vista / Win 7/8/10, untuk Android, untuk iOS (13.4 tidak kompatibel sekarang, hanya untuk versi di bawah 13.4)Supported:Android/IOS mobile phone/PC computerDoes not support IOS 13.4 or aboveMobile phones that do not support MediaTek chipsConnection method: wireless Bluetooth / USB data cableKeyboard cover: two-color injection of lightShaft: mechanical shaftSpecification: 61 keysWorking current: <200MAHKeyboard size: 29210240mmSupported games: DNF mobile game, PlayerUnknown's Battlegrounds, QQ Speed mobile game version, King of Glory, etc.Isi dalam kemasan :1x Keyboard1x Key Puller1x Charging Cable Type C1x User Manual",± 19 jam,3.132 Feedback Positif,dari 3.136 feedback,https://www.bukalapak.com/p/hobi-koleksi/video-game/aksesoris/4gfhbbj-jual-pxn-k30-gaming-tkl-battledock-mechanical-keyboard-blue-switch-black-and-white
Fantech MK857 Maxfit61 Frost Wired RGB 60% Mechanical Gaming Keyboard ,,,Rp518.400,Distributor_Aksesoris,Jakarta Pusat,"POLYCARBONATE COVER & TRANSPARENT CASING + UNDER GLOW RGBMAXFIT61 FROST terbaru ini sudah memakai POLYCARBONATE sebagai bahan dari Cover /Case keyboard ini. Tampilan yang sedikit transparan dan terdapat lampu UNDER GLOWsemakin menambah estetik.SOUTH FACING RGB SWITCH & HOTSWAPPABLE (5 PIN)MAXFIT61 FROST compatible dengan berbagai tipe mechanical Switch mulai dari Gateron,Cherry dan Kailh, hingga Mechanical Switch yang memiliki 5 Pin dan sudah menggunakanSOUTH FACING PCB agar tidak ada lagi interference antara Switch dengan Keycaps apapun.MAGIC FNAll the Magic, in one key. Dengan mudah mengakses tombol penting untuk fungsi, danmengontrol media Anda, dan bahkan mengatur fungsi Custom. Dengan menekan Fn+CAPS,Anda mendapatkan akses cepat ke tombol multimedia, tombol beranda, tombol khusus, danlainnya. Software MAXFIT61 memungkinkan Anda mengganti, memindahkan seluruhtombol keyboard sesuai dengan keinginan (Layout Baru) kecuali tombol FNMAXFIT61 FROST KEYCAP GUIDEBagi yang hendak mengganti Keycap sesuai selera masing-masing, simak referensi ukuranKeycap MAXFIT61 pada gambar produk di atas agar tidak terjadi kesalahan dalam memilih.Keycap bawaan MAXFIT61 menggunakan OEM Profile.TERDAPAT 2 PILIHAN WARNA (HITAM & PUTIH)TERDAPAT 2 PILIHAN SWITCH (BLUE CLICKY & RED SILENT)SPESIFIKASI Lengkap :60% KEYBOARD LAYOUT (61 Tombol)SOUTH FACING RGBHOT-SWAPPABLE (Support up to 5 pin Switches)Outemu Switch Bawaan (Blue Switch, Red Switch)Pre-Lube Stabilizer (SHIFT, ENTER, SPACE-BAR, BACKSPACE)Include Damper FoamMAGIC FNDetachable Type-COnboard MemoryALL ANTIGHOSTINGRGB Per-KeySize 294mm x 103mm x 42mmBerat 566gr",± 15 jam,4.253 Feedback Positif,dari 4.479 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hkpms4-jual-fantech-mk857-maxfit61-frost-wired-rgb-60-mechanical-gaming-keyboard
Gamen GMK01 PBT Keycaps - keycaps Mechanical keyboard ,,,Rp79.000,Starcomp,Sleman,"Keunggulan:Warna lucu desain manis senada dengan warna merah bunga sakuraBahan PBT dengam injeksi 2 warna, lebih kuat dan tidak berminyakKompatibel dengan keyboard mekanik MXKompatibel untuk umum tombol pendek maupun stabilizer satellite pada tombol panjangSpesifikasi:*Model : GMK01*Keys : 104 ( termasuk key puller)Kelengkapan1 set Gamen GMK01",± 15 jam,5.693 Feedback Positif,dari 5.940 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hhfzx7-jual-gamen-gmk01-pbt-keycaps-keycaps-mechanical-keyboard
Keyboard Gaming Mechanical Redragon TKL Kumara K552 ,,,Rp432.000,Oke 378,Jakarta Pusat,"Keyboard Gaming Mechanical Redragon TKL Kumara K552MODEL KUMARA K552-2Features and Specification :1). High quality mechanical switches2). Key-by-key backlit3). Single RED color breathing light4). Full key anti-ghosting5). Spill proof design6). 87 keys7). Interchangeable ""   "" keys and ""WASD"" keys8). WIN keys can be disable when gaming9). Double injection keycaps10). Blue switch11). Adjustable brightness12). Removeable keycapsGARANSI RESMI 2 TAHUN REDRAGON INDONESIA",± 15 jam,23.428 Feedback Positif,dari 23.428 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4e0luzj-jual-keyboard-gaming-mechanical-redragon-tkl-kumara-k552
LEOPOLD FC750R GREY BLUE CHERRY MX BROWN MECHANICAL KEYBOARD FC750RN/EGBPD ,,,Rp1.295.000,Hariwinata,Jakarta Pusat,"HARAP TANYAKAN STOK TERLEBIH DAHULU SEBELUM DIORDERREGARDS,HariwinataKeycaps    Alphas: Gray Double Shot PBT with Black legends    Modifiers: Blue Double Shot PBT with Black legendsFeatures    Space Saving TKL Form Factor    N-key rollover    Dip switches for customizing layout    1.5mm thick PBT Doubleshot keycaps    Sound absorbing padDetails and SpecificationsBrand   LeopoldModel   FC750RSize    TenkeylessSwitch Stems    MXPhysical Layout ANSILogical Layout  US QWERTYFrame Color BlackPrimary LED Color   n/aControl LED Color   n/aHotswap Sockets NoUSB Key Rollover    FullMultimedia Keys YesSwitch Mount Type   PlateBuilt in Audio Port NoBuilt in Mic Port   NoInterface(s)    Mini USBWindows Compatible  YesDimensions  5.51"" x 14.25"" x 1.29""Weight  2.20 lbsCord Length 60 inches",± 13 jam,1.610 Feedback Positif,dari 1.616 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hrron1-jual-leopold-fc750r-grey-blue-cherry-mx-brown-mechanical-keyboard-fc750rn-egbpd
DUCKY ONE 3 GOSSAMER PINK TKL CHERRY MX BLUE MECHANICAL KEYBOARD DKON2187-CUSPDGOWWPC2 ,,,Rp1.500.000,Hariwinata,Jakarta Pusat,"HARAP TANYAKAN STOK TERLEBIH DAHULU SEBELUM DIORDERREGARDS,HariwinataFeatures    Exclusive Kailh yellow hotswap sockets    Q-bounce synthetic pad    EVA sound dampener    Remapped macro layout    Detachable braided USB-C cable    Low profile stability housing    3-stage adjustable feet    N-key rollover    Cherry profile Double Shot PBT keycaps    Limited run of keyboards marked with RabbitThe One 3 series features Ducky's all new QUACK Mechanics design philosophy which focuses on achieving best-in-class aesthetics, hotswap functionality, sound dampening, stabilizers, and more! The case for the One 3 maintains a low profile while allowing for a variety of color combinations with its unique 3-layer design. Enjoy the best acoustics you'll find in a prebuilt thanks to the One 3's silicone plate dampener and EVA foam case dampener.The Ducky One 3 TKL Gossamer Pink is hot-swappable with Ducky's exclusive top-of-the-line Kailh Yellow Sockets. Ducky's V2 stabilizers provide improved stability, feel, and sound. Thick Double Shot PBT keycaps with seamless legends, 3-level adjustable feet, an improved PCB design, detachable braided USB-C cable, and an improved macro layout are just a few of the features that makes the One 3 rise above the rest.Details and SpecificationsBrand   DuckyModel   One 3 TKLSize    TenkeylessSwitch Stems    MXPhysical Layout ANSILogical Layout  US QWERTYFrame Color WhiteFrame Top Material  PlasticFrame Bottom Material   PlasticPrimary LED Color   n/aControl LED Color   n/aHotswap Sockets YesSwitch Mount Type   PlateBuilt in Audio Port NoBuilt in Mic Port   NoInterface(s)    USB-CWindows Compatible  YesMac Compatible  YesLinux Compatible    YesCord Length 72 inches",± 13 jam,1.610 Feedback Positif,dari 1.616 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hno72g-jual-ducky-one-3-gossamer-pink-tkl-cherry-mx-blue-mechanical-keyboard-dkon2187-cuspdgowwpc2
TECWARE PHANTOM+ 104 RGB WRAITH BROWN SWITCH MECHANICAL GAMING KEYBOARD ,,,Rp664.000,Hariwinata,Jakarta Pusat,"HARAP TANYAKAN STOK TERLEBIH DAHULU SEBELUM DIORDERREGARDS,HariwinataPremium Typing ExperienceEvery inch of the keyboard is considered, fine-tuned, and specially engineered to deliver a truly remarkable out-of-the-box typing experience.V3 StabilizersClipped and lubed stabilizers for a smooth typing experience.Sound DampeningMulti-layered foam padding combined to reduce the unpleasant noise within the keyboard. Added silicon fillers on the top plate gives keys like the spacebar a more solid sound profile.Dual-Layer Fibreglass PCBImproved signal stability with a strong fibreglass core for a longer lifespan.Minimal DowntimeReplace switches easily without desoldering.Tools and spare switches included.Features    Standard US ANSI Keyboard Layout    V3 Stabilizers (Clipped & Lubed)    Orange/Brown/Pink/Red Pre-lubed Wraith Switches    Sound Dampening Foam (PCB + Bottom)    Silicone Spacebar Filler    North-facing 3-pin Tecware Switch Sockets    16.8 million RGB Per-key Customization    Replaceable Switches w/ Spare Switches &    Tools Included    Double-walled ABS Keycaps    1.8m Detachable USB-C Braided Cable    Side-printed Multimedia KeysSpecificationsModel Phantom+ 104Dimensions L443 x W132 x H42mmWeight 1.11kgLayout 104 KeysLegend Standard US QWERTYSwitch Lifespan 50 million keystrokesCable Length 1.8m Detachable USB-C Coiled CableFrame Black Plastic Body / Gunmetal Alloy BackplateSwitch Type Pre-lubed Wraith SwitchesKeycaps Double-shot PBT KeycapsLEDs SMD LEDsPackage Contents01 x Phantom+ Mechanical Keyboard01 x Black Detachable USB-C Braided 1.8m Cable01 x Switch & Keycap Puller Tool04 x Spare Switches",± 13 jam,1.610 Feedback Positif,dari 1.616 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hqdpud-jual-tecware-phantom-104-rgb-wraith-brown-switch-mechanical-gaming-keyboard
DUCKY PROJECTD TINKER 65 BAREBONE RGB MECHANICAL KEYBOARD PKTI2367AST-ANSI01 ,,,Rp1.225.000,Hariwinata,Jakarta Pusat,"HARAP TANYAKAN STOK TERLEBIH DAHULU SEBELUM DIORDERREGARDS,HariwinataFeatures    Gasket mount design with FR4 plate    5-pin hotswap PCB with exclusive Kailh yellow hotswap sockets    Poron plate foam & bottom foam    PE sheet for sound dampening    Programmable with QMK and VIA    Detachable braided USB-C cable    3-stage keyboard stand    N-key rollover    RGB LED backlight    Black top case with white bottom case    Barebones Item! Does Not Include Switches or KeycapsThis keyboard is part of Ducky's ProjectD series, a distinctive brand of Ducky products geared towards enthusiasts. Explore a personalized experience that enhances productivity and reflects your individuality.Details and SpecificationsBrand   DuckyModel   Tinker65Size    65%Physical Layout ANSILogical Layout  US QWERTYFrame Color BlackFrame Top Material  PlasticFrame Bottom Material   PlasticPrimary LED Color   RGBControl LED Color   n/aHotswap Sockets YesSwitch Mount Type   PlateBuilt in Audio Port NoBuilt in Mic Port   NoInterface(s)    USB-CWindows Compatible  YesMac Compatible  YesLinux Compatible    YesCord Length 72 inches",± 13 jam,1.610 Feedback Positif,dari 1.616 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hq94im-jual-ducky-projectd-tinker-65-barebone-rgb-mechanical-keyboard-pkti2367ast-ansi01
