Title,Reviews,Sold,Original Price,Store Name,Store City,Description,Order Processing,Positive Feedback,Total Feedback,Product URL
Keyboard Gaming CORSAIR K70 RGB PRO with PBT DOUBLE SHOT PRO Keycaps ,,,Rp2.799.000,Asiatech Dusit,Jakarta Pusat,"Keyboard Gaming CORSAIR K70 RGB PRO with PBT DOUBLE SHOT PRO Keycaps*Konfirmasi stok sebelum pemesananSWITCH:CHERRYMX BROWN CH-9109412-NACHERRYMX RED CH-9109410-NAKeyboard Warranty 2 YearWeight 1.15kgLighting RGBKeyboard Layout NAUSB Polling Rate Up to 8,000Hz with AXONMatrix 104 KeysConnectivity WiredAdjustable Height YesMedia Controls YN YesKeyboard Type Size K70Keyboard Product Family K70Keyboard Rollover Full Key (NKRO) with 100% Anti-GhostingForm Factor Full SizeWired Connectivity USB 3.0 or 3.1 Type-AOn-Board Memory 8MBNumber Onboard profiles Up to 50WIN Lock Dedicated HotkeyMedia Control Dedicated Hotkeys, Volume RollerPalm Rest Magnetic detachable, soft touchKeyboard CUE Software Supported in iCUECable Type BraidedIntergated Touchpad 444mm x 166mm x 40mmGARANSI DTG INDONESIA",± 13 jam,927 Feedback Positif,dari 965 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4h4blwp-jual-keyboard-gaming-corsair-k70-rgb-pro-with-pbt-double-shot-pro-keycaps
Robot Workmate II Keyboard Mechanical Gaming Wired Kabel 94 Keys PBT Keycaps Workmatte ,,,Rp319.900,Alex Store,Denpasar,"Alex Store Accessories Phone Gadget PC always OriginalAll Premium Device Wearable for youKeunggulan:1. 94 Compact Layout2. Port USB-C dan Outemu yang dapat dilepas3. Kualitas Switch A+4. Colorful backlight effect, ubah dan sesuaikan efek lampu kapan saja5. 60% tata letak yang rapat, kecil, hemat ruang dan tidak memakan ruang desktop, mudah dibawa6. Kabel dan tombol terpisah7. Poros mekanis yang dapat dicolokkan dan disesuaikan dengan kenyamanan anda7. Ergonomic design sehingga mengetik lebih nyaman8. Menggunakan bahan yang kuat, tahan korosi, bertekstur halus dan tidak memudarSpesifikasi:*Model : WORKMATE II*Size : 29*10*3cm*Number of keys : 94*Switch : Blue*Input : 5V 180ma*Wired Interface : USB*Length of the wire : 1.5m*Weight : 3.75KG*System supports : Windows, MAC, OS, ChromeKelengkapan:1x Keyboard WORKMATE II",± 5 jam,3.437 Feedback Positif,dari 3.441 feedback,https://www.bukalapak.com/p/komputer/gaming/mouse-keyboard-gaming/4hn5qx7-jual-robot-workmate-ii-keyboard-mechanical-gaming-wired-kabel-94-keys-pbt-keycaps-workmatte
Gamen GMK01 Keycaps Keyboard Mekanik MX Double Shot PBT Mechanical ,,1 Terjual,Rp79.000,mmcroxy,Jakarta Pusat,"Keunggulan:Warna lucu desain manis senada dengan warna merah bunga sakuraBahan PBT dengam injeksi 2 warna, lebih kuat dan tidak berminyakKompatibel dengan keyboard mekanik MXKompatibel untuk umum tombol pendek maupun stabilizer satellite pada tombol panjangSpesifikasi:Model : GMK01Keys : 104 ( termasuk key puller)NOTE : Tidak menerima komplain produk cacat fisik/tidak lengkap apabila produk tsb sudah dikeluarkan dari kemasan (kecuali ada video unboxing dan akan kami bantu komplain ke pihak ekspedisi).",± 22 jam,19.559 Feedback Positif,dari 19.732 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/aksesoris-lainnya-241/4hii934-jual-gamen-gmk01-keycaps-keyboard-mekanik-mx-double-shot-pbt-mechanical
Robot Workmate II Mechanical keyboard Gaming 94keys PBT Keycaps ,,,Rp314.000,Thewisest OkeSop,Denpasar,"Robot Workmate II Mechanical keyboard Gaming 94keys PBT KeycapsOriginal 100 %Garansi Resmi BNIB SEGEL Thewisest Okesop Keunggulan:1. 94 Compact Layout2. Port USB-C dan Outemu yang dapat dilepas3. Kualitas Switch A+4. Colorful backlight effect, ubah dan sesuaikan efek lampu kapan saja5. 60% tata letak yang rapat, kecil, hemat ruang dan tidak memakan ruang desktop, mudah dibawa6. Kabel dan tombol terpisah7. Poros mekanis yang dapat dicolokkan dan disesuaikan dengan kenyamanan anda7. Ergonomic design sehingga mengetik lebih nyaman8. Menggunakan bahan yang kuat, tahan korosi, bertekstur halus dan tidak memudarSpesifikasi:*Model : WORKMATE II*Size : 29*10*3cm*Number of keys : 94*Switch : Blue*Input : 5V 180ma*Wired Interface : USB*Length of the wire : 1.5m*Weight : 3.75KG*System supports : Windows, MAC, OS, ChromeKelengkapan1x Keyboard WORKMATE II",± 8 jam,1.237 Feedback Positif,dari 1.258 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hnnfgp-jual-robot-workmate-ii-mechanical-keyboard-gaming-94keys-pbt-keycaps
Redragon PBT Double Shot 150 Keycaps For All Mechanical Keyboard- A132 ,,,Rp380.000,Redragon Indonesia,Jakarta Utara,"FEATURESRedragon full-size CSA profile PBT keycap set,150 PCS for full compatibility.1. Compatible with all Redragon mechanical keyboards2. High-grade doubleshot PBT material with a sturdy, textured finish3. Extra-thick key walls provides maximum durability and solid key presses4. Enhanced the arc and keycap-finger contact area to bring more comfortable typing5. Consisting 150 keycaps fits with customized mechanical keyboard in 108/104/96/84/78/68/61 layoutTECH SPECSStandard Keycap Dimensions:18.5 x 18.5mm (bottom)Material:PBTStyle:Double shotLayout:US [ANSI]Profile:CSAKeys:150Color:Black/WhiteFont:Non-translucent",± 1-2 hari,23 Feedback Positif,dari 29 feedback,https://www.bukalapak.com/p/g-komputer/g-gaming/g-mouse-keyboard-gaming/4hmmc24-jual-redragon-pbt-double-shot-150-keycaps-for-all-mechanical-keyboard-a132
Keyboard Mechanical Gaming ROBOT WORKMATE II 94 Keys PBT Keycaps TypeC ,,,Rp310.000,lisensiantivirus,Bandar Lampung,"Keyboard Gaming Mechanical Robot seri terbaru ya ini Sahabat LisensiantivirusAda Numpadnya, jadi mendukung banget multifungsinyadan keycapbsnya sudah pbt dapat dicopot dan diganti sesuai kebutuhanKeunggulan:94 Compact LayoutPort USB-C dan Outemu yang dapat dilepasKualitas Switch A+Colorful backlight effect, ubah dan sesuaikan efek lampu kapan saja60% tata letak yang rapat, kecil, hemat ruang dan tidak memakan ruang desktop, mudah dibawaKabel dan tombol terpisahPoros mekanis yang dapat dicolokkan dan disesuaikan dengan kenyamanan andaErgonomic design sehingga mengetik lebih nyamanMenggunakan bahan yang kuat, tahan korosi, bertekstur halus dan tidak memudarSpesifikasi:Model : WORKMATE II*Size : 2910*3cm*Number of keys : 94*Switch : Blue*Input : 5V 180ma*Wired Interface : USB*Length of the wire : 1.5m*Weight : 3.75KG*System supports : Windows, MAC, OS, ChromeKelengkapan1x Keyboard WORKMATE IIGaransi Robot 1 Tahun",± 14 jam,378 Feedback Positif,dari 385 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hp0tna-jual-keyboard-mechanical-gaming-robot-workmate-ii-94-keys-pbt-keycaps-typec
,,,,,,,,,,https://www.bukalapak.com/u/alexstore8
,,,,,,,,,,https://www.bukalapak.com/u/redragonindonesia
,,,,,,,,,,https://www.bukalapak.com/u/mmcroxy
,,,,,,,,,,https://www.bukalapak.com/u/arif_dwi_septian84
